epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1275.91,1.02663,3.46821,0.97214,0.78388,0.74641,0.82382,0.60371,0.8263,69.7879,0.74898,0.000184407,0.000184407,0.000184407
2,2691.64,0.89197,1.69231,0.9348,0.90471,0.90345,0.95704,0.71496,0.78318,56.0726,0.7344,0.000333136,0.000333136,0.000333136
3,3940.39,0.85543,1.33265,0.92297,0.94353,0.92991,0.9692,0.73918,0.74395,42.0484,0.71787,0.000445169,0.000445169,0.000445169
4,5243.05,0.83673,1.13073,0.91788,0.94691,0.95082,0.97417,0.75348,0.7172,33.2677,0.71107,0.000390868,0.000390868,0.000390868
5,6701.5,0.79854,0.92318,0.90716,0.96847,0.93258,0.98128,0.77424,0.66825,25.5333,0.70568,0.000335824,0.000335824,0.000335824
6,8046.58,0.77203,0.81442,0.89634,0.97829,0.95007,0.98066,0.77907,0.70779,21.6889,0.71164,0.00028078,0.00028078,0.00028078
7,9361.7,0.75628,0.73284,0.89185,0.97729,0.95205,0.984,0.79954,0.58723,17.6579,0.69284,0.000225736,0.000225736,0.000225736
8,10527.6,0.72297,0.67643,0.88163,0.9669,0.97153,0.98525,0.80463,0.62154,16.2918,0.69085,0.000170692,0.000170692,0.000170692
9,11858.1,0.70801,0.63142,0.87702,0.97062,0.97655,0.98605,0.81007,0.59936,14.1581,0.68603,0.000115648,0.000115648,0.000115648
10,13136.5,0.68954,0.60911,0.87344,0.96394,0.9756,0.98693,0.819,0.58908,13.5243,0.68317,6.0604e-05,6.0604e-05,6.0604e-05
